Poli,Dokter,Hari,Waktu
POLI BEDAH,dr. N. DASA PUTRA. SP.B-KBD, SENIN : 08.00-14.00
POLI BEDAH,dr. N. DASA PUTRA. SP.B-KBD, RABU : 08.00-14.00
POLI BEDAH,dr. N. DASA PUTRA. SP.B-KBD, JUMAT : 08.00-14.00
POLI BEDAH,dr. JOKO PURNOMO. SP.B(K) ONK,SELASA : 16.00-17.30 
POLI BEDAH,dr. JOKO PURNOMO. SP.B(K) ONK, JUMAT : 16.00-17.30
POLI MATA,dr. HERU PRASETIYONO. SP.M,SENIN : 08:00-14:00
POLI MATA,dr. HERU PRASETIYONO. SP.M, SELASA : 08:00-14:00
POLI MATA,dr. HERU PRASETIYONO. SP.M, RABU : 08:00-14:00, 
POLI MATA,dr. DYAH AYU ELIZA L. SP.M,SENIN : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, SELASA : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, RABU : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, KAMIS : 08:00-14:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, JUMAT :08:00-14:00
POLI THT,dr. NIKEN DYAH A.K. SP.THT.M.KES, SENIN : 07.00-13.00
POLI THT,dr. NIKEN DYAH A.K. SP.THT.M.KES, SELASA : 07.00-13.00
POLI THT,dr. NIKEN DYAH A.K. SP.THT.M.KES, RABU : 07.00-13.00
POLI THT,dr. ANDRY FIRMANSYAH SP.THT-KL, SENIN : 08.00-10.00
POLI THT,dr. ANDRY FIRMANSYAH SP.THT-KL, RABU : 08.00-10.00
POLI THT,dr. ANDRY FIRMANSYAH SP.THT-KL, JUMAT : 07.00-13.00
POLI THT,dr. ANTONIUS C. SP.THT-KL, KAMIS : 07.00-13.00
POLI THT,dr. ANTONIUS C. SP.THT-KL, JUMAT : 10.00-12.00
POLI AKUPUNTUR,dr. DWI SURYA S. M.KES. SP.AK, SENIN : 08:00 s/d 14:00
POLI AKUPUNTUR,dr. DWI SURYA S. M.KES. SP.AK, SELASA : 08:00 s/d 14:00
POLI AKUPUNTUR,dr. DWI SURYA S. M.KES. SP.AK, RABU : 08:00 s/d 14:00
POLI AKUPUNTUR,dr. DWI SURYA S. M.KES. SP.AK, KAMIS : 08:00 s/d 14:00
POLI AKUPUNTUR,dr. DWI SURYA S. M.KES. SP.AK, JUMAT : 08:00 s/d 14:00
POLI GERIATRI,dr. COANA S.SP.PD.M.KES, SENIN : 08.00-14.00
POLI GERIATRI,dr. COANA S.SP.PD.M.KES, SELASA : 08.00-14.00
POLI GERIATRI,dr. COANA S.SP.PD.M.KES, RABU : 08.00-14.00
POLI GERIATRI,dr. COANA S.SP.PD.M.KES, KAMIS : 08.00-14.00
POLI GERIATRI,dr. COANA S.SP.PD.M.KES, JUMAT : 08.00-14.00
POLI GERIATRI,dr. EVI LILIEK W. SP.PD. M.KES, SENIN : 08.00-14.00
POLI GERIATRI,dr. EVI LILIEK W. SP.PD. M.KES, SELASA : 08.00-14.00
POLI GERIATRI,dr. EVI LILIEK W. SP.PD. M.KES, RABU : 08.00-14.00
POLI GERIATRI,dr. EVI LILIEK W. SP.PD. M.KES, KAMIS : 08.00-14.00
POLI GERIATRI,dr. EVI LILIEK W. SP.PD. M.KES, JUMAT : 08.00-14.00
POLI GERIATRI,dr. NURHASAN A P.SP.PD-M.KES, SENIN : 08.00-14.00
POLI GERIATRI,dr. NURHASAN A P.SP.PD-M.KES, SELASA : 08.00-14.00
POLI GERIATRI,dr. NURHASAN A P.SP.PD-M.KES, RABU : 08.00-14.00
POLI GERIATRI,dr. NURHASAN A P.SP.PD-M.KES, KAMIS : 08.00-14.00
POLI GERIATRI,dr. NURHASAN A P.SP.PD-M.KES, JUMAT : 08.00-14.00
POLI GERIATRI,dr. BERTY DENNY H. SP.PD, SENIN : 08.00-14.00
POLI GERIATRI,dr. BERTY DENNY H. SP.PD, SELASA : 08.00-14.00
POLI GERIATRI,dr. BERTY DENNY H. SP.PD, RABU : 08.00-14.00
POLI GERIATRI,dr. BERTY DENNY H. SP.PD, KAMIS : 08.00-14.00
POLI GERIATRI,dr. BERTY DENNY H. SP.PD, JUMAT : 08.00-14.00
POLI GERIATRI,dr. DESY PUSPA PUTRI. SP.PD, SENIN : 08.00-14.00
POLI GERIATRI,dr. DESY PUSPA PUTRI. SP.PD, SELASA : 08.00-14.00
POLI GERIATRI,dr. DESY PUSPA PUTRI. SP.PD, RABU : 08.00-14.00
POLI GERIATRI,dr. DESY PUSPA PUTRI. SP.PD, KAMIS : 08.00-14.00
POLI GERIATRI,dr. DESY PUSPA PUTRI. SP.PD, JUMAT : 08.00-14.00
POLI FOTOTERAPI,dr. ALAMANDA MURASMITA. SP.DV, SENIN : 08.00-14.00
POLI FOTOTERAPI,dr. ALAMANDA MURASMITA. SP.DV, SELASA : 08.00-14.00
POLI FOTOTERAPI,dr. ALAMANDA MURASMITA. SP.DV, RABU : 08.00-14.00
POLI FOTOTERAPI,dr. ALAMANDA MURASMITA. SP.DV, KAMIS : 08.00-14.00
POLI FOTOTERAPI,dr. ALAMANDA MURASMITA. SP.DV, JUMAT : 08.00-14.00
POLI FOTOTERAPI,dr. AMMARILIS MURASTAMI. SP.KK, SENIN : 08.00-14.00
POLI FOTOTERAPI,dr. AMMARILIS MURASTAMI. SP.KK, SELASA : 08.00-14.00
POLI FOTOTERAPI,dr. AMMARILIS MURASTAMI. SP.KK, RABU : 08.00-14.00
POLI FOTOTERAPI,dr. AMMARILIS MURASTAMI. SP.KK, KAMIS : 08.00-14.00
POLI FOTOTERAPI,dr. AMMARILIS MURASTAMI. SP.KK, JUMAT : 08.00-15.00
POLI FOTOTERAPI,dr. TRIASARI O. M.SC.SP.KK, SENIN : 08.00-14.00
POLI FOTOTERAPI,dr. TRIASARI O. M.SC.SP.KK, RABU : 08.00-14.00
POLI FOTOTERAPI,dr. TRIASARI O. M.SC.SP.KK, KAMIS : 13.00-15.00
POLI FOTOTERAPI,dr. TRIASARI O. M.SC.SP.KK, JUMAT : 08.00-14.00
POLI UROLOGI,dr. ANDRY HARYANTO. SP.U,SENIN : 08:00-14:00
POLI UROLOGI,dr. ANDRY HARYANTO. SP.U, RABU : 09:00-14:00
POLI UROLOGI,dr. ANDRY HARYANTO. SP.U, JUMAT : 08:00-14:00
POLI UROLOGI,dr. RIZKI ABRI L. SP.U,SENIN : 08:00-10:00
POLI UROLOGI,dr. RIZKI ABRI L. SP.U, SELASA : 08:00-14:00
POLI UROLOGI,dr. RIZKI ABRI L. SP.U, RABU : 08:00-10:00
POLI UROLOGI,dr. RIZKI ABRI L. SP.U, KAMIS : 08:00-14:00
POLI UROLOGI,dr. RIZKI ABRI L. SP.U, JUMAT : 08:00-14:00
POLI TERAPI WICARA,dr. DESY K T.  SPKFR,SENIN : 08:00-14:00
POLI TERAPI WICARA,dr. DESY K T.  SPKFR, SELASA : 08:00-14:00
POLI TERAPI WICARA,dr. DESY K T.  SPKFR, RABU : 08:00-14:00
POLI TERAPI WICARA,dr. DESY K T.  SPKFR, KAMIS : 08:00-14:00
POLI TERAPI WICARA,dr. DESY K T.  SPKFR, JUMAT : 08:00-14:00
POLI KLINIK ETETIKA,dr. AMMARILIS MURASTAMI. SP.KK,SENIN : 08:00-15:00
POLI KLINIK ETETIKA,dr. AMMARILIS MURASTAMI. SP.KK, SELASA : 08:00-15:00
POLI KLINIK ETETIKA,dr. AMMARILIS MURASTAMI. SP.KK, RABU : 08:00-15:00
POLI KLINIK ETETIKA,dr. AMMARILIS MURASTAMI. SP.KK, KAMIS : 08:00-15:00
POLI KLINIK ETETIKA,dr. AMMARILIS MURASTAMI. SP.KK, JUMAT : 08:00-15:00
POLI KLINIK ETETIKA,dr. TRIASARI O.M.SC.SP.KK,SENIN : 08:00-15:00
POLI KLINIK ETETIKA,dr. TRIASARI O.M.SC.SP.KK, SELASA : 08:00-15:00
POLI KLINIK ETETIKA,dr. TRIASARI O.M.SC.SP.KK, RABU : 08:00-15:00
POLI KLINIK ETETIKA,dr. TRIASARI O.M.SC.SP.KK, KAMIS : 08:00-15:00
POLI KLINIK ETETIKA,dr. TRIASARI O.M.SC.SP.KK, JUMAT : 08:00-15:00
POLI KLINIK ETETIKA,dr. ALAMANDA MURASMITA. SP.DV,SENIN : 10:00-15:00
POLI KLINIK ETETIKA,dr. ALAMANDA MURASMITA. SP.DV, SELASA : 08:00-15:00 
POLI KLINIK ETETIKA,dr. ALAMANDA MURASMITA. SP.DV, RABU : 08:00-15:00
POLI KLINIK ETETIKA,dr. ALAMANDA MURASMITA. SP.DV, KAMIS : 08:00-15:00
POLI KLINIK ETETIKA,dr. ALAMANDA MURASMITA. SP.DV, JUMAT : 08:00 s/d 15:00
POLI PENYAKIT DALAM,dr. COANA S. SP.PD.M.KES,SENIN : 08.00-14.00
POLI PENYAKIT DALAM,dr. COANA S. SP.PD.M.KES, SELASA : 08.00-10.00
POLI PENYAKIT DALAM,dr. COANA S. SP.PD.M.KES, RABU : 08.00-14.00
POLI PENYAKIT DALAM,dr. COANA S. SP.PD.M.KES, KAMIS : 08.00-10.00
POLI PENYAKIT DALAM,dr. COANA S. SP.PD.M.KES, JUMAT : 08.00-14.00
POLI PENYAKIT DALAM,dr. EVI LILIEK W. SP.PD. M.KES,SENIN : 08.00-14.00
POLI PENYAKIT DALAM,dr. EVI LILIEK W. SP.PD. M.KES, RABU : 08.00-14.00
POLI PENYAKIT DALAM,dr. EVI LILIEK W. SP.PD. M.KES, KAMIS : 08.00-14.00
POLI PENYAKIT DALAM,dr. NURHASAN A .P. SP.PD-M.KES,SENIN : 08.00-14.00
POLI PENYAKIT DALAM,dr. NURHASAN A .P. SP.PD-M.KES, RABU : 08.00-10.00
POLI PENYAKIT DALAM,dr. NURHASAN A .P. SP.PD-M.KES, SELASA : 08.00-14.00
POLI PENYAKIT DALAM,dr. NURHASAN A .P. SP.PD-M.KES, KAMIS : 08.00-14.00
POLI PENYAKIT DALAM,dr. NURHASAN A .P. SP.PD-M.KES, JUMAT : 08.00-10.00
POLI PENYAKIT DALAM,dr. BERTY DENNY H. SP.PD,SELASA : 08.00-15.00
POLI PENYAKIT DALAM,dr. BERTY DENNY H. SP.PD, KAMIS : 08.00-15.00
POLI PENYAKIT DALAM,dr. BERTY DENNY H. SP.PD, JUMAT : 08.00-14.00
POLI PENYAKIT DALAM,dr. DESY PUSPA PUTRI SP.PD,SELASA : 08.00-15.00
POLI PENYAKIT DALAM,dr. DESY PUSPA PUTRI SP.PD, RABU : 08.00-15.00
POLI PENYAKIT DALAM,dr. DESY PUSPA PUTRI SP.PD, JUMAT : 08.00-14.00
POLI MATA,dr. HERU PRASETIYONO. SP.M,SENIN : 08:00-14:00
POLI MATA,dr. HERU PRASETIYONO. SP.M, SELASA : 08:00-14:00
POLI MATA,dr. HERU PRASETIYONO. SP.M, RABU : 08:00-14:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M,SENIN : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, SELASA : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, RABU : 13:00-15:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, KAMIS : 08:00-14:00
POLI MATA,dr. DYAH AYU ELIZA L. SP.M, JUMAT : 08:00-14:00
POLI JANTUNG, dr. HABIBIE SP.JP(K) M.KES.FIHA, SELASA : 08.00-14.00
POLI JANTUNG, dr. HABIBIE SP.JP(K) M.KES.FIHA, RABU : 08.00-14.00
POLI JANTUNG, dr. HABIBIE SP.JP(K) M.KES.FIHA, KAMIS : 08.00-14.00
POLI JANTUNG, dr. IRNIZARIFKA SP.JP(K) FIHA, SENIN : 08.00-14.00
POLI JANTUNG, dr. IRNIZARIFKA SP.JP(K) FIHA, KAMIS : 08.00-14.00
POLI JANTUNG, dr. IRNIZARIFKA SP.JP(K) FIHA, JUMAT : 08.00-14.00
POLI JANTUNG, dr. AN ALDIA A. SP.JP. FIHA, SENIN : 08:00-14:00
POLI JANTUNG, dr. AN ALDIA A. SP.JP. FIHA, SELASA : 08.00-14.00
POLI JANTUNG, dr. AN ALDIA A. SP.JP. FIHA, JUMAT : 08.00-14.00
POLI JANTUNG, dr. HERU SULASTOMO. SP.JP. FIHA, SELASA : 16:00-18:00
POLI JANTUNG, dr. HERU SULASTOMO. SP.JP. FIHA, KAMIS : 16:00-18:00
POLI JIWA, dr. ROHMANINGTYAS H SP.KJ. M.KES, SENIN : 08.00-14.00
POLI JIWA, dr. ROHMANINGTYAS H SP.KJ. M.KES, SELASA : 08.00-14.00
POLI JIWA, dr. ROHMANINGTYAS H SP.KJ. M.KES, KAMIS : 08.00-14.00
POLI JIWA, dr. LISETIAWATI. SP.KJ, SELASA : 08:00-14:00
POLI JIWA, dr. LISETIAWATI. SP.KJ, RABU : 08:00-14:00
POLI JIWA, dr. LISETIAWATI. SP.KJ, JUMAT : 08:00-14:00
POLI JIWA, dr. ARIANA SETIANI. SP.KJ, SENIN : 08.00-14.00
POLI JIWA, dr. ARIANA SETIANI. SP.KJ, RABU : 08.00-14.00
POLI JIWA, dr. ARIANA SETIANI. SP.KJ, KAMIS : 08.00-14.00
POLI JIWA, DR. I.G.B.INDRO N. SP.KJ. M.KES, SENIN :16.00-20.00
POLI JIWA, DR. I.G.B.INDRO N. SP.KJ. M.KES, SELASA : 16.00-18.00
POLI JIWA, DR. I.G.B.INDRO N. SP.KJ. M.KES, RABU : 16.00-18.00
POLI JIWA, DR. I.G.B.INDRO N. SP.KJ. M.KES, KAMIS : 16.00-18.00
POLI ORTOPEDI, DR. FARID I. SP.OT. M.BIOMED, SENIN : 08:00-12:00
POLI ORTOPEDI, DR. FARID I. SP.OT. M.BIOMED, SELASA : 08:00-12:00
POLI ORTOPEDI, DR. FARID I. SP.OT. M.BIOMED, KAMIS : 08:00-12:00
POLI ORTOPEDI, DR. FARID I. SP.OT. M.BIOMED, JUMAT : 08:00-12:00
POLI ORTOPEDI, DR. FAJAR IVAN EFENDI. SP.OT, SELASA : 08:00-12:00
POLI ORTOPEDI, DR. FAJAR IVAN EFENDI. SP.OT, RABU : 08:00-12:00
POLI ORTOPEDI, DR. FAJAR IVAN EFENDI. SP.OT, KAMIS : 08:00-12:00
POLI ORTOPEDI, DR. FAJAR IVAN EFENDI. SP.OT, JUMAT : 08:00-12:00
POLI ORTOPEDI, DR. IBNU YUDISTIRO. SP.OT, SENIN : 08:00-12:00
POLI ORTOPEDI, DR. IBNU YUDISTIRO. SP.OT, RABU : 08:00-12:00
POLI PARU, Dr. HENDRASTUTIK. SP.P. M.KES, SENIN : 08:00-14:00
POLI PARU, Dr. HENDRASTUTIK. SP.P. M.KES, SELASA : 08:00-14:00
POLI PARU, Dr. HENDRASTUTIK. SP.P. M.KES, RABU : 08:00-14:00
POLI PARU, PROF.DR.REVIONO. SP.P(K), SELASA : 08:00-14:00
POLI PARU, PROF.DR.REVIONO. SP.P(K), KAMIS : 08:00-14:00
POLI PARU, PROF.DR.REVIONO. SP.P(K), JUMAT : 08:00-14:00
POLI PARU, Dr. BRIGITTA DEVI A. H. SP.P, RABU : 08:00-14:00
POLI PARU, Dr. BRIGITTA DEVI A. H. SP.P, KAMIS : 08:00-14:00
POLI PARU, Dr. BRIGITTA DEVI A. H. SP.P, JUMAT : 08:00-14:00
POLI SYARAF, Dr. DIAH KURNIA M. SP.S, SELASA : 08:00-14:00
POLI SYARAF, Dr. PEPI B. SP.S(K). FINR. FINA, SENIN : 08:00-14:00
POLI SYARAF, Dr. PEPI B. SP.S(K). FINR. FINA, SELASA : 08:00-14:00
POLI SYARAF, Dr. PEPI B. SP.S(K). FINR. FINA, KAMIS : 08:00-14:00
POLI SYARAF, Dr. PEPI B. SP.S(K). FINR. FINA, JUMAT : 08:00-14:00
POLI SYARAF, Dr. HANINDIA R.AJ. R.P. SP.S, SENIN : 08:00-14:00
POLI SYARAF, Dr. HANINDIA R.AJ. R.P. SP.S, RABU : 08:00-14:00
POLI SYARAF, Dr. HANINDIA R.AJ. R.P. SP.S, KAMIS : 08:00-14:00
POLI SYARAF, Dr. HANINDIA R.AJ. R.P. SP.S, JUMAT : 08:00-14:00
